Date,Open,High,Low,Close,Adj Close,Volume
2020-10-03,0.330198,0.333680,0.309410,0.310933,0.310933,5263358
2020-10-04,0.310977,0.311063,0.300981,0.301854,0.301854,2046240
2020-10-05,0.301854,0.325660,0.300397,0.310945,0.310945,4612694
2020-10-06,0.311001,0.318352,0.292390,0.294626,0.294626,3098149
2020-10-07,0.294697,0.303512,0.289293,0.303174,0.303174,2705269
2020-10-08,0.303299,0.303995,0.295042,0.301117,0.301117,2563977
2020-10-09,0.301097,0.317468,0.300668,0.317468,0.317468,3127575
2020-10-10,0.317140,0.318608,0.302561,0.308088,0.308088,3963075
2020-10-11,0.307906,0.322808,0.302704,0.321258,0.321258,4081973
2020-10-12,0.321188,0.329516,0.312355,0.325249,0.325249,4100528
2020-10-13,0.325235,0.325254,0.311728,0.316279,0.316279,4056493
2020-10-14,0.316312,0.334389,0.316217,0.320308,0.320308,6948029
2020-10-15,0.319955,0.327274,0.316849,0.324310,0.324310,2913869
2020-10-16,0.324337,0.324483,0.306807,0.318984,0.318984,3485102
2020-10-17,0.318903,0.318903,0.313850,0.316730,0.316730,1508407
2020-10-18,0.316563,0.317400,0.311878,0.313673,0.313673,1056352
2020-10-19,0.313720,0.328973,0.309892,0.320042,0.320042,4305719
2020-10-20,0.320224,0.320370,0.309350,0.310478,0.310478,4521978
2020-10-21,0.310344,0.317403,0.309266,0.312277,0.312277,4010769
2020-10-22,0.312274,0.315845,0.310901,0.313993,0.313993,3319204
2020-10-23,0.314053,0.327893,0.311614,0.316516,0.316516,4803647
2020-10-24,0.316516,0.316911,0.311011,0.311544,0.311544,2582214
2020-10-25,0.311544,0.312570,0.306863,0.308086,0.308086,2058405
2020-10-26,0.308086,0.318208,0.300705,0.304185,0.304185,5285422
2020-10-27,0.304186,0.318538,0.303524,0.309150,0.309150,5285969
2020-10-28,0.309155,0.320036,0.304234,0.308183,0.308183,6950531
2020-10-29,0.308186,0.311143,0.300714,0.302096,0.302096,2680488
2020-10-30,0.302100,0.308246,0.299420,0.303908,0.303908,3426674
2020-10-31,0.303599,0.307889,0.302750,0.302750,0.302750,2347673
2020-11-01,0.302745,0.303509,0.299536,0.299569,0.299569,1751602
2020-11-02,0.299575,0.301443,0.286711,0.286857,0.286857,3998667
2020-11-03,0.286852,0.291012,0.275755,0.290513,0.290513,4265450
2020-11-04,0.290516,0.290711,0.278082,0.283994,0.283994,2901186
2020-11-05,0.283996,0.292377,0.280075,0.292366,0.292366,2704483
2020-11-06,0.292366,0.305712,0.292366,0.304737,0.304737,3352543
2020-11-07,0.304737,0.311937,0.291366,0.292365,0.292365,3917259
2020-11-08,0.292365,0.306445,0.292089,0.303016,0.303016,2041264
2020-11-09,0.303016,0.305521,0.296844,0.297418,0.297418,2774717
2020-11-10,0.297414,0.310262,0.293710,0.308250,0.308250,3675333
2020-11-11,0.308250,0.335496,0.308250,0.320926,0.320926,7227266
2020-11-12,0.320929,0.325883,0.308442,0.316530,0.316530,5586377
2020-11-13,0.316541,0.327879,0.314749,0.318922,0.318922,3737582
2020-11-14,0.318922,0.319676,0.303821,0.305296,0.305296,3508123
2020-11-15,0.305296,0.312076,0.294977,0.308027,0.308027,5285322
2020-11-16,0.308027,0.317589,0.293283,0.312899,0.312899,8113854
2020-11-17,0.312265,0.327608,0.307611,0.311134,0.311134,6548250
2020-11-18,0.311139,0.321753,0.305870,0.316330,0.316330,8020178
2020-11-19,0.316330,0.329752,0.313760,0.323821,0.323821,6963870
